1125,1108,203,732,793,600,1546,1219,893,1545,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,683,520,590,800,707,125,702,1176,820,561,1152,662,125,265,707,0,0,0,0,0,0,0,0,0,0,0,0,0
341,216,1327,1622,1345,726,1194,584,435,1293,137,1621,1076,718,1021,1086,435,495,0,0,0,0,0,0,0,0,0,0,0
177,794,849,1535,1521,814,645,403,38,1294,752,1530,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,1312,340,397,1501,230,604,1618,371,248,1006,13,230,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
977,1303,1172,541,821,299,1013,929,1036,253,35,570,821,642,1184,570,541,1013,299,188,0,0,0,0,0,0,0,0,0
1315,1111,442,1071,602,1456,210,1521,1440,254,543,1202,614,292,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1427,1011,360,159,280,912,530,109,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,199,840,496,327,1536,392,567,1626,1209,1369,325,1532,1628,955,496,0,0,0,0,0,0,0,0,0,0,0,0,0
519,876,592,388,987,1173,749,1581,598,1520,995,1581,1044,1048,861,428,1520,1629,0,0,0,0,0,0,0,0,0,0,0
1371,1197,785,1170,1333,1608,1524,1319,1095,807,1092,490,569,809,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,857,733,706,1374,857,733,1227,395,1221,559,1565,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,235,1519,1024,1357,437,5,953,980,947,883,1519,1326,1328,184,1512,0,0,0,0,0,0,0,0,0,0,0,0,0
1183,497,1625,133,39,179,1301,1633,994,633,1284,145,565,308,1203,1183,0,0,0,0,0,0,0,0,0,0,0,0,0
1356,1631,798,1422,879,764,763,885,1275,295,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,1580,1256,839,699,358,1200,804,1032,974,91,778,1587,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697,546,776,348,627,1392,1505,53,476,888,1562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,601,792,1511,1405,-1,575,1104,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,1331,1139,429,1460,139,1093,846,162,194,812,304,714,1331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1287,1438,499,1488,847,508,508,1123,858,313,75,1287,119,1384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
731,5,1522,307,827,1009,187,715,696,654,1382,1497,622,1625,1089,628,1416,1009,0,0,0,0,0,0,0,0,0,0,0
61,1019,639,606,67,1031,498,1047,624,976,1373,675,620,593,1132,947,0,0,0,0,0,0,0,0,0,0,0,0,0
223,610,33,766,728,637,1358,94,467,1232,1461,1149,211,659,466,1317,1017,413,0,0,0,0,0,0,0,0,0,0,0
378,46,1124,261,113,200,1015,1426,873,55,691,1605,46,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
